Country/Area,Good,Child Labor,Forced Labor,Forced Child Labor
Afghanistan,Bricks,1,1,1
Afghanistan,Carpets,1,0,0
Afghanistan,Coal,1,0,0
Afghanistan,Poppies,1,0,0
Afghanistan,Salt,1,0,0
Angola,Diamonds,1,1,0
Argentina,Bricks,1,0,0
Argentina,Cotton,1,0,0
Argentina,Garlic,1,0,0
Argentina,Garments,1,1,1
Argentina,Grapes,1,0,0
Argentina,Olives,1,0,0
Argentina,Strawberries,1,0,0
Argentina,Tobacco,1,0,0
Argentina,Tomatoes,1,0,0
Argentina,Yerba Mate (stimulant plant),1,0,0
Azerbaijan,Cotton,1,0,0
Bangladesh,Bidis (hand-rolled cigarettes),1,0,0
Bangladesh,Bricks,1,0,0
Bangladesh,Dried Fish,1,1,1
Bangladesh,Footwear,1,0,0
Bangladesh,Furniture (steel),1,0,0
Bangladesh,Garments,1,1,0
Bangladesh,Glass,1,0,0
Bangladesh,Jute (Textiles),1,0,0
Bangladesh,Leather,1,0,0
Bangladesh,Matches,1,0,0
Bangladesh,Poultry,1,0,0
Bangladesh,Salt,1,0,0
Bangladesh,Shrimp,1,0,0
Bangladesh,Soap,1,0,0
Bangladesh,Textiles,1,0,0
Belarus,Furniture,0,1,0
Belarus,Lumber,0,1,0
Belize,Bananas,1,0,0
Belize,Citrus Fruits,1,0,0
Belize,Sugarcane,1,0,0
Benin,Cotton,1,1,1
Benin,Granite (crushed),1,0,0
Bolivia,Brazil Nuts/Chestnuts,1,1,1
Bolivia,Bricks,1,0,0
Bolivia,Cattle,1,1,0
Bolivia,Coca (stimulant plant),1,0,0
Bolivia,Corn,1,1,0
Bolivia,Gold,1,0,0
Bolivia,Lead,1,0,0
Bolivia,Peanuts,0,1,0
Bolivia,Silver,1,0,0
Bolivia,Sugarcane,1,1,1
Bolivia,Tin,1,0,0
Bolivia,Zinc,1,0,0
Brazil,Aáa° Berries,1,0,0
Brazil,Bananas,1,0,0
Brazil,Beef,1,0,0
Brazil,Bricks,1,0,0
Brazil,Cashews,1,0,0
Brazil,Cattle,1,1,0
Brazil,Ceramics,1,0,0
Brazil,Charcoal,1,1,0
Brazil,Cocoa,1,0,0
Brazil,Coffee,1,1,0
Brazil,Corn,1,0,0
Brazil,Cotton,1,0,0
Brazil,Fish,1,0,0
Brazil,Footwear,1,0,0
Brazil,Garments,0,1,0
Brazil,Hogs,1,0,0
Brazil,Manioc/Cassava,1,0,0
Brazil,Pineapples,1,0,0
Brazil,Poultry,1,0,0
Brazil,Rice,1,0,0
Brazil,Sheep,1,0,0
Brazil,Sisal,1,0,0
Brazil,Sugarcane,1,1,0
Brazil,Timber,0,1,0
Brazil,Tobacco,1,0,0
Burkina Faso,Cotton,1,1,1
Burkina Faso,Gold,1,1,1
Burkina Faso,Granite,1,0,0
Burma,Bamboo,1,1,1
Burma,"Beans (green, soy, yellow)",1,1,1
Burma,Bricks,1,1,1
Burma,Fish,0,1,0
Burma,Garments,1,1,0
Burma,Jade,1,1,0
Burma,Palm Thatch,0,1,0
Burma,Rice,1,1,1
Burma,Rubber,1,1,1
Burma,Rubies,1,1,0
Burma,Sesame,0,1,0
Burma,Shrimp,0,1,0
Burma,Sugarcane,1,1,1
Burma,Sunflowers,0,1,0
Burma,Teak,1,1,1
Cambodia,Alcoholic Beverages,1,0,0
Cambodia,Bovines,1,0,0
Cambodia,Bricks,1,1,1
Cambodia,Fish,1,0,0
Cambodia,Manioc/Cassava,1,0,0
Cambodia,Meat,1,0,0
Cambodia,Rubber,1,0,0
Cambodia,Shrimp,1,0,0
Cambodia,Sugarcane,1,0,0
Cambodia,Textiles,1,0,0
Cambodia,Timber,1,0,0
Cambodia,Tobacco,1,0,0
Cameroon,Cocoa,1,0,0
Cameroon,Gold,1,0,0
Central African Republic,Diamonds,1,0,0
Central African Republic,Gold,1,0,0
Chad,Cattle,1,0,0
Chad,Gold,0,1,0
China,Aluminum,0,1,0
China,Artificial Flowers,0,1,0
China,Bricks,1,1,1
China,Caustic Soda,0,1,0
China,Christmas Decorations,0,1,0
China,Coal,0,1,0
China,Cotton,1,1,1
China,Electronics,1,1,1
China,Fireworks,1,1,0
China,Fish,0,1,0
China,Footwear,0,1,0
China,Garments,0,1,0
China,Gloves,0,1,0
China,Hair Products,0,1,0
China,Jujubes,0,1,0
China,Metallurgical Grade Silicon,0,1,0
China,Nails,0,1,0
China,Polysilicon,0,1,0
China,Polyvinyl Chloride,0,1,0
China,Squid,0,1,0
China,Textiles,1,1,0
China,Thread/Yarn,0,1,0
China,Tomato Products,0,1,0
China,Toys,1,1,1
Colombia,Bricks (clay),1,0,0
Colombia,Coal,1,0,0
Colombia,Coca (stimulant plant),1,1,1
Colombia,Coffee,1,0,0
Colombia,Emeralds,1,0,0
Colombia,Fruits (Pome and Stone) ,1,0,0
Colombia,Gold,1,0,0
Colombia,Grapes,1,0,0
Colombia,Pornography,1,0,0
Colombia,Sugarcane,1,0,0
Costa Rica,Cattle,1,0,0
Costa Rica,Coffee,1,0,0
Cìte d'Ivoire,Cocoa,1,1,1
Cìte d'Ivoire,Coffee,1,1,1
Democratic Republic of the Congo,Cobalt Ore (heterogenite),1,1,0
Democratic Republic of the Congo,Copper Ore,1,0,0
Democratic Republic of the Congo,Diamonds,1,0,0
Democratic Republic of the Congo,Gold,1,1,1
Democratic Republic of the Congo,Tantalum Ore (coltan),1,1,1
Democratic Republic of the Congo,Tin Ore (cassiterite),1,1,1
Democratic Republic of the Congo,Tungsten Ore (wolframite),1,1,1
Dominican Republic,Baked Goods,1,0,0
Dominican Republic,Coffee,1,0,0
Dominican Republic,Rice,1,0,0
Dominican Republic,Sugarcane,1,1,0
Dominican Republic,Tomatoes,1,0,0
Ecuador,Bananas,1,0,0
Ecuador,Bovines,1,0,0
Ecuador,Bricks,1,0,0
Ecuador,Flowers,1,0,0
Ecuador,Gold,1,0,0
Ecuador,Hogs,1,0,0
